id_pair,id_premis,premis_text,hypothesis_text,label
101131,10113,"Songgon adalah sebuah nama desa di wilayah Songgon, Kabupaten Banyuwangi, Provinsi Jawa Timur, Indonesia.",Songgon adalah nama desa di Kabupaten Jawa Timur.,e
101132,10113,"Songgon adalah sebuah nama desa di wilayah Songgon, Kabupaten Banyuwangi, Provinsi Jawa Timur, Indonesia.",Songgon adalah nama desa di Indonesia.,e
101133,10113,"Songgon adalah sebuah nama desa di wilayah Songgon, Kabupaten Banyuwangi, Provinsi Jawa Timur, Indonesia.",Songgon bukan nama desa.,c
101134,10113,"Songgon adalah sebuah nama desa di wilayah Songgon, Kabupaten Banyuwangi, Provinsi Jawa Timur, Indonesia.",Indonesia adalah nama desa.,n
101135,10113,"Songgon adalah sebuah nama desa di wilayah Songgon, Kabupaten Banyuwangi, Provinsi Jawa Timur, Indonesia.",Kabupaten Banyuwangi adalah nama desa.,n
101141,10114,Ia melakukan tapa di sebuah tempat bernama Kurukshetra dan semenjak itu tempat tersebut suci dan keramat.,Ia melakukan tapa di tempat keramat.,n
101144,10114,Ia melakukan tapa di sebuah tempat bernama Kurukshetra dan semenjak itu tempat tersebut suci dan keramat.,"Semenjak ia melakukan tapa, tempat tersebut suci dan keramat.",e
101145,10114,Ia melakukan tapa di sebuah tempat bernama Kurukshetra dan semenjak itu tempat tersebut suci dan keramat.,Ia tidak melakukan tapa di Kurukshetra.,c
101151,10115,Reger belajar musik di Muenchen dan Wiesbaden dengan Hugo Riemann.,Reger lahir di Wiesbaden.,n
101152,10115,Reger belajar musik di Muenchen dan Wiesbaden dengan Hugo Riemann.,Higo Riemann adalah guru musik.,n
101154,10115,Reger belajar musik di Muenchen dan Wiesbaden dengan Hugo Riemann.,Reger tidak pernah belajar musik.,c
101160,10116,"Pakel adalah desa di kecamatan Gucialit, Kabupaten Lumajang, provinsi Jawa Timur, Indonesia.",Pakel adalah desa.,e
101161,10116,"Pakel adalah desa di kecamatan Gucialit, Kabupaten Lumajang, provinsi Jawa Timur, Indonesia.",Pakel adalah kecamatan.,c
101162,10116,"Pakel adalah desa di kecamatan Gucialit, Kabupaten Lumajang, provinsi Jawa Timur, Indonesia.",Pakel adalah kabupaten.,c
101163,10116,"Pakel adalah desa di kecamatan Gucialit, Kabupaten Lumajang, provinsi Jawa Timur, Indonesia.",Pakel adalah provinsi.,c
101164,10116,"Pakel adalah desa di kecamatan Gucialit, Kabupaten Lumajang, provinsi Jawa Timur, Indonesia.",Kecamatan Gucialit berada di Kabupaten Lumajang.,e
101165,10116,"Pakel adalah desa di kecamatan Gucialit, Kabupaten Lumajang, provinsi Jawa Timur, Indonesia.",Desa di kecamatan Gucialit tidak bernama Pakel.,n
101170,10117,Kain mori pernah pula amat populer sebagai bahan pakaian yaitu pada era 1960—1970-an.,Kain mori populer pada era ini.,n
101171,10117,Kain mori pernah pula amat populer sebagai bahan pakaian yaitu pada era 1960—1970-an.,Kain mori tidak populer sekarang.,n
101172,10117,Kain mori pernah pula amat populer sebagai bahan pakaian yaitu pada era 1960—1970-an.,Bahan pakaian populer adalah kain Mori.,n
101173,10117,Kain mori pernah pula amat populer sebagai bahan pakaian yaitu pada era 1960—1970-an.,Kain Mori adalah bahan pakaian.,e
101174,10117,Kain mori pernah pula amat populer sebagai bahan pakaian yaitu pada era 1960—1970-an.,Kain mori tidak populer pada era 1970-an.,c
101175,10117,Kain mori pernah pula amat populer sebagai bahan pakaian yaitu pada era 1960—1970-an.,Kain mori bukan bahan pakaian.,c
101183,10118,"Beberapa bulan sebelum Rose dan kawan-kawan lulus dari akademi, mereka wajib mengikuti ujian lapangan.",Ujian lapangan tidak wajib.,c
101184,10118,"Beberapa bulan sebelum Rose dan kawan-kawan lulus dari akademi, mereka wajib mengikuti ujian lapangan.",Rose lulus dari akademi beberapa bulan yang lalu.,n
101185,10118,"Beberapa bulan sebelum Rose dan kawan-kawan lulus dari akademi, mereka wajib mengikuti ujian lapangan.",Rose mempunyai kawan.,e
101190,10119,Orang pengganti atau Backup Person merupakan salah satu strategi yang digunakan agar proses bisnis berkesinambungan.,Strategi yang digunakan adalah Orang pengganti.,n
101191,10119,Orang pengganti atau Backup Person merupakan salah satu strategi yang digunakan agar proses bisnis berkesinambungan.,Orang pengganti merupakan salah satu strategi bisnis.,e
101192,10119,Orang pengganti atau Backup Person merupakan salah satu strategi yang digunakan agar proses bisnis berkesinambungan.,Orang pengganti digunakan agar proses bisnis berkesinambungan.,e
101193,10119,Orang pengganti atau Backup Person merupakan salah satu strategi yang digunakan agar proses bisnis berkesinambungan.,Strategi digunakan agar proses bisnis berkesinambungan.,n
101194,10119,Orang pengganti atau Backup Person merupakan salah satu strategi yang digunakan agar proses bisnis berkesinambungan.,Orang pengganti bukan salah satu strategi.,c
101195,10119,Orang pengganti atau Backup Person merupakan salah satu strategi yang digunakan agar proses bisnis berkesinambungan.,Orang pengganti tidak digunakan.,n
101200,10120,"Pagi ini, Paus Fransiskus menemui Mark Zuckerberg dan istri nya di Casa Santa Marta.",Paus Fransiskus bertemu Mark Zuckerberg.,e
101201,10120,"Pagi ini, Paus Fransiskus menemui Mark Zuckerberg dan istri nya di Casa Santa Marta.",Mark Zuckerberg sudah menikah.,e
101202,10120,"Pagi ini, Paus Fransiskus menemui Mark Zuckerberg dan istri nya di Casa Santa Marta.",Paus Fransiskus tinggal di Casa Santa Maria.,n
101205,10120,"Pagi ini, Paus Fransiskus menemui Mark Zuckerberg dan istri nya di Casa Santa Marta.",Mark Zuckerberg tidak bertemu Paus Fransiskus.,c
101210,10121,"M37 terletak di arah anti pusat, berlawanan dengan pusat galaksi jika dilihat dari bumi.",M37 terletak di arah pusat.,c
101211,10121,"M37 terletak di arah anti pusat, berlawanan dengan pusat galaksi jika dilihat dari bumi.",Arah anti pusat adalah arah pusat glakasi jika dilihat dari bum.,c
101212,10121,"M37 terletak di arah anti pusat, berlawanan dengan pusat galaksi jika dilihat dari bumi.",Arah M37 berlawanan dengan arah pusat galaksi.,e
101213,10121,"M37 terletak di arah anti pusat, berlawanan dengan pusat galaksi jika dilihat dari bumi.",Pusat galaksi dilihat dari bumi.,n
101214,10121,"M37 terletak di arah anti pusat, berlawanan dengan pusat galaksi jika dilihat dari bumi.",M37 dilihat dari bumi.,n
101215,10121,"M37 terletak di arah anti pusat, berlawanan dengan pusat galaksi jika dilihat dari bumi.",M37 terletak di pusat galaksi.,c
101220,10122,Villers-en-Ouche adalah komune di Apartement Orne di barat laut Prancis.,Villers-en-Ouche adalah komune.,e
101221,10122,Villers-en-Ouche adalah komune di Apartement Orne di barat laut Prancis.,Villers-en-Ouche berada di barat laut Perancis.,e
101222,10122,Villers-en-Ouche adalah komune di Apartement Orne di barat laut Prancis.,Apartement Orne adalah komune.,c
101230,10123,"Makamnya sempat tak diketahui, lalu Zain bin Abdullah Bahasan menampakkannya, sehingga terkenal hingga sekarang.",Zain bin Abdullah Bahasan menampakkan makamnya.,e
101231,10123,"Makamnya sempat tak diketahui, lalu Zain bin Abdullah Bahasan menampakkannya, sehingga terkenal hingga sekarang.",Zain bin Abdullah Bahasan terkenal hingga sekarang.,n
101232,10123,"Makamnya sempat tak diketahui, lalu Zain bin Abdullah Bahasan menampakkannya, sehingga terkenal hingga sekarang.",Makamnya selalu terkenal.,c
101233,10123,"Makamnya sempat tak diketahui, lalu Zain bin Abdullah Bahasan menampakkannya, sehingga terkenal hingga sekarang.",Makamnya tak diketahui hingga sekarang.,c
101234,10123,"Makamnya sempat tak diketahui, lalu Zain bin Abdullah Bahasan menampakkannya, sehingga terkenal hingga sekarang.",Makamnya sudah tidak terkenal lagi.,c
101235,10123,"Makamnya sempat tak diketahui, lalu Zain bin Abdullah Bahasan menampakkannya, sehingga terkenal hingga sekarang.",Makam tersebut milik Zain bin Abdullah Bahasan.,n
101242,10124,"CGI Mestre telah menyatakan dalam sebuah catatan, bahwa tidak akan ada kenaikan dalam VAT, setidaknya untuk 2017.",Tidak ada kenaikan dalam VAT untuk 2017.,e
101243,10124,"CGI Mestre telah menyatakan dalam sebuah catatan, bahwa tidak akan ada kenaikan dalam VAT, setidaknya untuk 2017.",CGI Mestre menyatakan pada tahun 2017.,n
101245,10124,"CGI Mestre telah menyatakan dalam sebuah catatan, bahwa tidak akan ada kenaikan dalam VAT, setidaknya untuk 2017.",Ada penurunan dalam VAT untuk 2017.,n
101250,10125,"Sementara mayoritas ikan ini mudah beradaptasi di tempat peliharaan, beberapa merupakan pemakan spesialis yang sulit dipelihara.",Mayoritas ikan mudah beradaptasi.,e
101252,10125,"Sementara mayoritas ikan ini mudah beradaptasi di tempat peliharaan, beberapa merupakan pemakan spesialis yang sulit dipelihara.",Beberapa ikan adalah pemakan spesialis yang sulit dipelihara.,e
101254,10125,"Sementara mayoritas ikan ini mudah beradaptasi di tempat peliharaan, beberapa merupakan pemakan spesialis yang sulit dipelihara.",Semua ikan mudah beradaptasi.,c
101255,10125,"Sementara mayoritas ikan ini mudah beradaptasi di tempat peliharaan, beberapa merupakan pemakan spesialis yang sulit dipelihara.",Ikan pemakan spesialis mudah dipelihara.,c
101260,10126,"Di Eropa, sebelum pecahnya perang, Sekutu memiliki keunggulan signifikan, baik dalam hal populasi maupun ekonomi.","Sesudah perang, Sekutu unggul dalam hal ekonomi.",n
101262,10126,"Di Eropa, sebelum pecahnya perang, Sekutu memiliki keunggulan signifikan, baik dalam hal populasi maupun ekonomi.",Sekutu unggul dalam hal ekonomi di Asia.,n
101264,10126,"Di Eropa, sebelum pecahnya perang, Sekutu memiliki keunggulan signifikan, baik dalam hal populasi maupun ekonomi.",Perang pecah di Eropa.,n
101270,10127,"Modong adalah sebuah desa di wilayah Kecamatan Tulangan, Kabupaten Sidoarjo, Provinsi Jawa Timur.",Modong adalah sebuah desa.,e
101272,10127,"Modong adalah sebuah desa di wilayah Kecamatan Tulangan, Kabupaten Sidoarjo, Provinsi Jawa Timur.",Modong ada di Provinsi Jawa Timur.,e
101275,10127,"Modong adalah sebuah desa di wilayah Kecamatan Tulangan, Kabupaten Sidoarjo, Provinsi Jawa Timur.",Ada desa di wilayah Kecamatan Tulangan bernama Modong.,e
101280,10128,"Shikamaru belum kehabisan akal, dia lalu memancing Tayuya mendekat dan menjebaknya dengan kagemane, kageshibari no jutsu.",Shikamaru memancing Tayuya dengan kagemane.,e
101281,10128,"Shikamaru belum kehabisan akal, dia lalu memancing Tayuya mendekat dan menjebaknya dengan kagemane, kageshibari no jutsu.",Tayuya dijebak Shikamaru dengan kagemane.,e
101283,10128,"Shikamaru belum kehabisan akal, dia lalu memancing Tayuya mendekat dan menjebaknya dengan kagemane, kageshibari no jutsu.",Tayuya belum kehabisan akal.,n
101285,10128,"Shikamaru belum kehabisan akal, dia lalu memancing Tayuya mendekat dan menjebaknya dengan kagemane, kageshibari no jutsu.",Tayuya terpancing mendekat ke Shikamaru.,e
101290,10129,"Sebagian besar dari debat itu, dari sisi Demokratik tahun ini, adalah tentang identitas laki-laki kulit putih.",Sebagian besar dari debat itu tentang laki-laki kulit putih.,e
101293,10129,"Sebagian besar dari debat itu, dari sisi Demokratik tahun ini, adalah tentang identitas laki-laki kulit putih.",Sisi Demokratik mendebatkan identitas laki-laki kulit putih.,e
101294,10129,"Sebagian besar dari debat itu, dari sisi Demokratik tahun ini, adalah tentang identitas laki-laki kulit putih.",Debat tentang identitas laki-laki kulit putih hanya sebagian kecil.,c
101295,10129,"Sebagian besar dari debat itu, dari sisi Demokratik tahun ini, adalah tentang identitas laki-laki kulit putih.",Sebagian kecil dari debat adalah tentang kulit putih.,n
101300,10130,Pemerintah telah melarang mudik untuk menekan penularan virus Corona COVID-19.,Pemerintah telah memperbolehkan mudik.,c
101301,10130,Pemerintah telah melarang mudik untuk menekan penularan virus Corona COVID-19.,Pemerintah ingin menekan penularan virus.,e
101302,10130,Pemerintah telah melarang mudik untuk menekan penularan virus Corona COVID-19.,Pelarangan mudik menekan penularan virus Corona COVID-19.,n
101303,10130,Pemerintah telah melarang mudik untuk menekan penularan virus Corona COVID-19.,Pemerintah melarang penularan virus Corona.,n
101304,10130,Pemerintah telah melarang mudik untuk menekan penularan virus Corona COVID-19.,Mudik tidak dilarang pemerintah.,c
101305,10130,Pemerintah telah melarang mudik untuk menekan penularan virus Corona COVID-19.,Mudik dilarang pemerintah.,e
101310,10131,Presiden Joko Widodo (Jokowi) menyampaikan prediksi bahwa wabah virus Corona (COVID-19) di Indonesia akan selesai akhir tahun ini.,Wabah virus akan selesai akhir tahun ini.,n
101311,10131,Presiden Joko Widodo (Jokowi) menyampaikan prediksi bahwa wabah virus Corona (COVID-19) di Indonesia akan selesai akhir tahun ini.,Wabah virus tidak akan selesai tahun ini.,n
101312,10131,Presiden Joko Widodo (Jokowi) menyampaikan prediksi bahwa wabah virus Corona (COVID-19) di Indonesia akan selesai akhir tahun ini.,Presidan Joko Widodo menyampaikan prediksi akhir wabah Corona.,e
101313,10131,Presiden Joko Widodo (Jokowi) menyampaikan prediksi bahwa wabah virus Corona (COVID-19) di Indonesia akan selesai akhir tahun ini.,Wabah virus Corona diprediksi selesai akhir tahun ini.,e
101314,10131,Presiden Joko Widodo (Jokowi) menyampaikan prediksi bahwa wabah virus Corona (COVID-19) di Indonesia akan selesai akhir tahun ini.,Wabah virus Corona diprediksi tidak selesai akhir tahun ini.,c
101315,10131,Presiden Joko Widodo (Jokowi) menyampaikan prediksi bahwa wabah virus Corona (COVID-19) di Indonesia akan selesai akhir tahun ini.,Prediksi akhir wabah tidak disampaikan Jokowi.,c
101320,10132,"Sejumlah 15,68 persen pasien meninggal memiliki penyakit jantung, 9,19 persen sakit paru kronis dan 8,65 persen mempunyai penyakit ginjal.",Jumlah pasien meninggal karena penyakit jantung lebih banyak dari penyakit ginjal.,e
101321,10132,"Sejumlah 15,68 persen pasien meninggal memiliki penyakit jantung, 9,19 persen sakit paru kronis dan 8,65 persen mempunyai penyakit ginjal.",Lebih dari 10 persen pasien mempunyai penyakit ginjal.,c
101322,10132,"Sejumlah 15,68 persen pasien meninggal memiliki penyakit jantung, 9,19 persen sakit paru kronis dan 8,65 persen mempunyai penyakit ginjal.",Pasien meninggal karena penyakit jantung.,n
101323,10132,"Sejumlah 15,68 persen pasien meninggal memiliki penyakit jantung, 9,19 persen sakit paru kronis dan 8,65 persen mempunyai penyakit ginjal.",Pasien meninggal karena penyakit sakit paru kronis.,n
101324,10132,"Sejumlah 15,68 persen pasien meninggal memiliki penyakit jantung, 9,19 persen sakit paru kronis dan 8,65 persen mempunyai penyakit ginjal.",Jumlah pasien meninggal karena penyakit jantung lebih sedikit dari penyakit ginjal.,c
101325,10132,"Sejumlah 15,68 persen pasien meninggal memiliki penyakit jantung, 9,19 persen sakit paru kronis dan 8,65 persen mempunyai penyakit ginjal.",Pasien memiliki penyakit jantung dan penyakit ginjal.,n
101332,10133,"Dr Michelle Au, spesialis anestesi dari Rumah Sakit Emory St Joseph's, Amerika Serikat (AS), mencurahkan isi hatinya menjadi tenaga medis dalam menangani pasien virus corona COVID-19.",Dr Michelle Au tinggal di Amerika Serikat.,n
101333,10133,"Dr Michelle Au, spesialis anestesi dari Rumah Sakit Emory St Joseph's, Amerika Serikat (AS), mencurahkan isi hatinya menjadi tenaga medis dalam menangani pasien virus corona COVID-19.",Tenaga medis menangani pasien virus corona.,n
101334,10133,"Dr Michelle Au, spesialis anestesi dari Rumah Sakit Emory St Joseph's, Amerika Serikat (AS), mencurahkan isi hatinya menjadi tenaga medis dalam menangani pasien virus corona COVID-19.",Dr Michelle Au bukan tenaga medis.,c
101340,10134,"Terbaru, data dari Singapore University of Technology and Design (STUD) mengungkap prediksi akhir dari wabah Corona di 131 negara.",Wabah corona ada di 131 negara.,n
101341,10134,"Terbaru, data dari Singapore University of Technology and Design (STUD) mengungkap prediksi akhir dari wabah Corona di 131 negara.",Ada 131 negara yang mempunyai wabah Corona.,e
101342,10134,"Terbaru, data dari Singapore University of Technology and Design (STUD) mengungkap prediksi akhir dari wabah Corona di 131 negara.",Akhir wabah virus di 131 negara diprediksi data dari STUD.,e
101343,10134,"Terbaru, data dari Singapore University of Technology and Design (STUD) mengungkap prediksi akhir dari wabah Corona di 131 negara.",Akhir wabah corona sudah diungkap sejak lama.,c
101344,10134,"Terbaru, data dari Singapore University of Technology and Design (STUD) mengungkap prediksi akhir dari wabah Corona di 131 negara.",Data STUD memprediksi akhir dari wabah Corona di 200 negara.,c
101345,10134,"Terbaru, data dari Singapore University of Technology and Design (STUD) mengungkap prediksi akhir dari wabah Corona di 131 negara.",Wabah Corona diprediksi tidak berakhir.,n
101351,10135,Total kasus positif Corona di Indonesia juga semakin mendekati jumlah 10 ribu orang.,Kasus positif corona di Indonesia kurang dari 10 ribu orang.,e
101352,10135,Total kasus positif Corona di Indonesia juga semakin mendekati jumlah 10 ribu orang.,Total kasus positif corona menjauhi jumlah 10 ribu orang.,c
101354,10135,Total kasus positif Corona di Indonesia juga semakin mendekati jumlah 10 ribu orang.,Total kasus positif corona lebih banyak dari kasus negatif corona.,n
101355,10135,Total kasus positif Corona di Indonesia juga semakin mendekati jumlah 10 ribu orang.,Total kasus positif corona di Indonesia mendekati 10 ribu orang.,e
101361,10136,Jumlah kasus baru yang terkonfirmasi positif Covid-19 dalam 24 jam terakhir hingga pukul 12.00 WIB hari ini menembus angka 400 pasien lagi.,Jumlah kasus baru yang terkonfirmasi pertama kali menembus angka 400 pasien.,c
101362,10136,Jumlah kasus baru yang terkonfirmasi positif Covid-19 dalam 24 jam terakhir hingga pukul 12.00 WIB hari ini menembus angka 400 pasien lagi.,Jumlah kasus baru yang terkonfirmasi kemarin menembus angka 400 pasien.,n
