premises_text	Premises_text	hypothesis_text	Hipotesis_teks	id_pair	id_premis	label
Indonesia was labeled as the country that forcibly occupied the former Portuguese colony with the military.	Indonesia dicap sebagai negara yang secara paksa menduduki bekas jajahan Portugis dengan militer.	Indonesia did not occupy the Portuguese colonies.	Indonesia tidak menduduki koloni Portugis.	101034	10103	c
Indonesia was labeled as the country that forcibly occupied the former Portuguese colony with the military.	Indonesia dicap sebagai negara yang secara paksa menduduki bekas jajahan Portugis dengan militer.	The area is not a former colony of Portugal.	Wilayah ini bukan bekas koloni Portugal.	101035	10103	c
The drama series stars Shota Matsuda, Katsumi Takahashi, Riko Narumi, Yuki Uchida, and Satomi Kobayashi.	Serial drama ini dibintangi oleh Shota Matsuda, Katsumi Takahashi, Riko Narumi, Yuki Uchida, dan Satomi Kobayashi.	The series stars Katsumi Takahashi.	Serial ini dibintangi oleh Katsumi Takahashi.	101041	10104	e
The drama series stars Shota Matsuda, Katsumi Takahashi, Riko Narumi, Yuki Uchida, and Satomi Kobayashi.	Serial drama ini dibintangi oleh Shota Matsuda, Katsumi Takahashi, Riko Narumi, Yuki Uchida, dan Satomi Kobayashi.	The series stars Satomi Kobayashi.	Serial ini dibintangi oleh Satomi Kobayashi.	101044	10104	e
This bowl of water is not drinkable, only used to wash hands before and after eating with your bare hands.	Semangkuk air ini tidak boleh diminum, hanya digunakan untuk mencuci tangan sebelum dan sesudah makan dengan tangan kosong.	Wash your hands before eating.	Cuci tangan sebelum makan.	101051	10105	n
This bowl of water is not drinkable, only used to wash hands before and after eating with your bare hands.	Semangkuk air ini tidak boleh diminum, hanya digunakan untuk mencuci tangan sebelum dan sesudah makan dengan tangan kosong.	Washing hands after eating.	Mencuci tangan setelah makan.	101052	10105	n
This bowl of water is not drinkable, only used to wash hands before and after eating with your bare hands.	Semangkuk air ini tidak boleh diminum, hanya digunakan untuk mencuci tangan sebelum dan sesudah makan dengan tangan kosong.	This bowl of water to wash your hands.	Semangkuk air ini untuk mencuci tangan Anda.	101053	10105	e
This bowl of water is not drinkable, only used to wash hands before and after eating with your bare hands.	Semangkuk air ini tidak boleh diminum, hanya digunakan untuk mencuci tangan sebelum dan sesudah makan dengan tangan kosong.	This water is not used to wash hands.	Air ini tidak digunakan untuk mencuci tangan.	101055	10105	c
Next the stimulation with masturbation is repeated again, and continues with sexual intercourse as above.	Selanjutnya stimulasi dengan masturbasi diulang lagi, dan dilanjutkan dengan hubungan seksual seperti di atas.	The masturbation ransangan is repeated.	Ransangan masturbasi diulangi.	101060	10106	e
Next the stimulation with masturbation is repeated again, and continues with sexual intercourse as above.	Selanjutnya stimulasi dengan masturbasi diulang lagi, dan dilanjutkan dengan hubungan seksual seperti di atas.	Sexual intercourse continues with masturbation stimuli.	Hubungan seksual berlanjut dengan rangsangan masturbasi.	101061	10106	n
Next the stimulation with masturbation is repeated again, and continues with sexual intercourse as above.	Selanjutnya stimulasi dengan masturbasi diulang lagi, dan dilanjutkan dengan hubungan seksual seperti di atas.	Ransangan with masturbation is not repeated.	Ransangan dengan masturbasi tidak berulang.	101062	10106	c
Next the stimulation with masturbation is repeated again, and continues with sexual intercourse as above.	Selanjutnya stimulasi dengan masturbasi diulang lagi, dan dilanjutkan dengan hubungan seksual seperti di atas.	The masturbation disorder does not proceed with sexual intercourse.	Gangguan masturbasi tidak berlangsung dengan hubungan seksual.	101063	10106	c
Next the stimulation with masturbation is repeated again, and continues with sexual intercourse as above.	Selanjutnya stimulasi dengan masturbasi diulang lagi, dan dilanjutkan dengan hubungan seksual seperti di atas.	Sexual intercourse does not proceed with masturbation stimuli.	Hubungan seksual tidak berlangsung dengan rangsangan masturbasi.	101064	10106	n
Next the stimulation with masturbation is repeated again, and continues with sexual intercourse as above.	Selanjutnya stimulasi dengan masturbasi diulang lagi, dan dilanjutkan dengan hubungan seksual seperti di atas.	The masturbation ransangan was repeated before intercourse.	Ransangan masturbasi itu diulang sebelum berhubungan badan.	101065	10106	e
Toulouse City Stadium is the largest multi-purpose stadium in Toulouse and the seventh largest stadium in France.	Stadion Kota Toulouse adalah stadion serba guna terbesar di Toulouse dan stadion terbesar ketujuh di Prancis.	Toulouse City Stadium is the largest stadium in Toulouse.	Stadion Kota Toulouse adalah stadion terbesar di Toulouse.	101070	10107	e
Toulouse City Stadium is the largest multi-purpose stadium in Toulouse and the seventh largest stadium in France.	Stadion Kota Toulouse adalah stadion serba guna terbesar di Toulouse dan stadion terbesar ketujuh di Prancis.	Toulouse City Stadium is the largest stadium in France.	Stadion Kota Toulouse adalah stadion terbesar di Prancis.	101071	10107	c
Toulouse City Stadium is the largest multi-purpose stadium in Toulouse and the seventh largest stadium in France.	Stadion Kota Toulouse adalah stadion serba guna terbesar di Toulouse dan stadion terbesar ketujuh di Prancis.	Toulouse City Stadium is the smallest stadium in Toulouse.	Stadion Kota Toulouse adalah stadion terkecil di Toulouse.	101072	10107	c
Toulouse City Stadium is the largest multi-purpose stadium in Toulouse and the seventh largest stadium in France.	Stadion Kota Toulouse adalah stadion serba guna terbesar di Toulouse dan stadion terbesar ketujuh di Prancis.	Toulouse City Stadium is not a versatile stadium.	Stadion Kota Toulouse bukanlah stadion serbaguna.	101073	10107	c
Toulouse City Stadium is the largest multi-purpose stadium in Toulouse and the seventh largest stadium in France.	Stadion Kota Toulouse adalah stadion serba guna terbesar di Toulouse dan stadion terbesar ketujuh di Prancis.	Toulouse City Stadium is Toulouse's seventh largest stadium.	Stadion Kota Toulouse adalah stadion terbesar ketujuh di Toulouse.	101074	10107	c
Toulouse City Stadium is the largest multi-purpose stadium in Toulouse and the seventh largest stadium in France.	Stadion Kota Toulouse adalah stadion serba guna terbesar di Toulouse dan stadion terbesar ketujuh di Prancis.	Toulouse City Stadium is the smallest stadium in France.	Stadion Kota Toulouse adalah stadion terkecil di Prancis.	101075	10107	n
The district is headed by a Chief of Staff who is under and is responsible for the district chief.	Kabupaten dipimpin oleh seorang Kepala Staf yang berada di bawah dan bertanggung jawab kepada kepala daerah.	The Chief of Service leads the Regional Service.	Kepala Dinas memimpin Dinas Daerah.	101080	10108	e
The district is headed by a Chief of Staff who is under and is responsible for the district chief.	Kabupaten dipimpin oleh seorang Kepala Staf yang berada di bawah dan bertanggung jawab kepada kepala daerah.	The district is headed by the head of the district.	Distrik ini dipimpin oleh kepala distrik.	101083	10108	n
The district is headed by a Chief of Staff who is under and is responsible for the district chief.	Kabupaten dipimpin oleh seorang Kepala Staf yang berada di bawah dan bertanggung jawab kepada kepala daerah.	The head office is under the head of the district.	Kantor pusat berada di bawah kepala distrik.	101084	10108	e
"The introductory title of the Septuagint reads ""Mazmur"" is classified by David and beyond numbering."	"Judul pengantar Septuaginta berbunyi ""Mazmur"" diklasifikasikan oleh Daud dan di luar penomoran."	The introductory title of the Septuagint in numbering.	Judul pengantar Septuaginta dalam penomoran.	101090	10109	c
"The introductory title of the Septuagint reads ""Mazmur"" is classified by David and beyond numbering."	"Judul pengantar Septuaginta berbunyi ""Mazmur"" diklasifikasikan oleh Daud dan di luar penomoran."	The introductory title of the Septuagint is not David's.	Judul pengantar Septuaginta bukanlah karya Daud.	101091	10109	c
"The introductory title of the Septuagint reads ""Mazmur"" is classified by David and beyond numbering."	"Judul pengantar Septuaginta berbunyi ""Mazmur"" diklasifikasikan oleh Daud dan di luar penomoran."	The title of the introduction to the Septuagint reads Psalms.	Judul pengantar Septuaginta berbunyi Mazmur.	101092	10109	e
"The introductory title of the Septuagint reads ""Mazmur"" is classified by David and beyond numbering."	"Judul pengantar Septuaginta berbunyi ""Mazmur"" diklasifikasikan oleh Daud dan di luar penomoran."	Psalms are classified by David.	Mazmur diklasifikasikan oleh Daud.	101093	10109	n
"The introductory title of the Septuagint reads ""Mazmur"" is classified by David and beyond numbering."	"Judul pengantar Septuaginta berbunyi ""Mazmur"" diklasifikasikan oleh Daud dan di luar penomoran."	Psalms beyond numbering.	Mazmur di luar penomoran.	101094	10109	n
"The introductory title of the Septuagint reads ""Mazmur"" is classified by David and beyond numbering."	"Judul pengantar Septuaginta berbunyi ""Mazmur"" diklasifikasikan oleh Daud dan di luar penomoran."	The title of this introduction is classified as David's.	Judul pengantar ini diklasifikasikan sebagai David.	101095	10109	e
"The school's master's knowledge is a form of toxic, black and misguided science."	"Pengetahuan guru sekolah adalah bentuk ilmu beracun, hitam dan sesat."	The science of the Panji silat is the science of white silat.	Ilmu silat Panji adalah ilmu silat putih. Ilmu silat putih adalah ilmu silat putih. Ilmu silat putih adalah ilmu silat putih. Ilmu silat putih adalah ilmu silat putih. Ilmu silat putih adalah ilmu silat putih. Ilmu silat putih adalah ilmu silat putih. Ilmu silat putih adalah ilmu silat putih. Ilmu silat putih adalah ilmu silat putih.	101100	10110	c
"The school's master's knowledge is a form of toxic, black and misguided science."	"Pengetahuan guru sekolah adalah bentuk ilmu beracun, hitam dan sesat."	The science of the Panji silat is the science of black silat.	Ilmu silat Panji adalah ilmu silat hitam. Ilmu silat panji adalah ilmu silat hitam. Ilmu silat panji adalah ilmu silat hitam. Ilmu silat panji adalah ilmu silat hitam. Ilmu silat panji adalah ilmu silat hitam. Ilmu silat panji adalah ilmu silat hitam. Ilmu silat panji adalah ilmu silat hitam. Ilmu silat pan	101101	10110	e
"The school's master's knowledge is a form of toxic, black and misguided science."	"Pengetahuan guru sekolah adalah bentuk ilmu beracun, hitam dan sesat."	It is a form of toxic silat science.	Ini adalah bentuk ilmu silat beracun.	101103	10110	e
Lil Woods is a young actress who stars in Nanny McPhee and the Big Bang as Megsie Green.	Lil Woods adalah aktris muda yang membintangi Nanny McPhee dan Big Bang sebagai Megsie Green.	Lil Woods is a young actress.	Lil Woods adalah aktris muda.	101110	10111	e
Lil Woods is a young actress who stars in Nanny McPhee and the Big Bang as Megsie Green.	Lil Woods adalah aktris muda yang membintangi Nanny McPhee dan Big Bang sebagai Megsie Green.	Lil Woods is an old actress.	Lil Woods adalah aktris tua.	101111	10111	c
Lil Woods is a young actress who stars in Nanny McPhee and the Big Bang as Megsie Green.	Lil Woods adalah aktris muda yang membintangi Nanny McPhee dan Big Bang sebagai Megsie Green.	Lil Woods plays Megsie Green.	Lil Woods berperan sebagai Megsie Green.	101112	10111	e
Lil Woods is a young actress who stars in Nanny McPhee and the Big Bang as Megsie Green.	Lil Woods adalah aktris muda yang membintangi Nanny McPhee dan Big Bang sebagai Megsie Green.	The elder actress was cast in the film Nanny McPhee.	Aktris tua tersebut berperan dalam film Nanny McPhee.	101113	10111	n
Lil Woods is a young actress who stars in Nanny McPhee and the Big Bang as Megsie Green.	Lil Woods adalah aktris muda yang membintangi Nanny McPhee dan Big Bang sebagai Megsie Green.	Megsie Green is played by Lil Woods.	Megsie Green diperankan oleh Lil Woods.	101114	10111	e
Lil Woods is a young actress who stars in Nanny McPhee and the Big Bang as Megsie Green.	Lil Woods adalah aktris muda yang membintangi Nanny McPhee dan Big Bang sebagai Megsie Green.	Megsie Green is not played by Lil Woods.	Megsie Green tidak dimainkan oleh Lil Woods.	101115	10111	c
By blowing it, the nurse could soon understand that she was called and would soon come to help.	Dengan meniupnya, perawat dapat segera memahami bahwa dia dipanggil dan akan segera datang untuk membantu.	The nurse understood that he was called.	Perawat itu mengerti bahwa dia dipanggil.	101120	10112	n
By blowing it, the nurse could soon understand that she was called and would soon come to help.	Dengan meniupnya, perawat dapat segera memahami bahwa dia dipanggil dan akan segera datang untuk membantu.	The nurse understood that he was called by blowing it.	Perawat mengerti bahwa ia dipanggil dengan meniupnya.	101121	10112	e
By blowing it, the nurse could soon understand that she was called and would soon come to help.	Dengan meniupnya, perawat dapat segera memahami bahwa dia dipanggil dan akan segera datang untuk membantu.	By blowing it, the nurse didn't understand that he was called.	Dengan meniupnya, perawat tidak mengerti bahwa dia dipanggil.	101124	10112	c
Songgon is a village name in the Songgon region of Banyuwangi Regency, East Java Province, Indonesia.	Songgon adalah nama desa di wilayah Songgon, Kabupaten Banyuwangi, Provinsi Jawa Timur, Indonesia.	A village in the Songgon region is called Songgon.	Sebuah desa di wilayah Songgon disebut Songgon.	101130	10113	e
Songgon is a village name in the Songgon region of Banyuwangi Regency, East Java Province, Indonesia.	Songgon adalah nama desa di wilayah Songgon, Kabupaten Banyuwangi, Provinsi Jawa Timur, Indonesia.	Songgon is the name of the village in East Java Regency.	Songgon adalah nama desa yang ada di Kabupaten Jawa Timur. Nama Songgon sendiri berasal dari kata Songgon yang berarti desa.	101131	10113	e
Songgon is a village name in the Songgon region of Banyuwangi Regency, East Java Province, Indonesia.	Songgon adalah nama desa di wilayah Songgon, Kabupaten Banyuwangi, Provinsi Jawa Timur, Indonesia.	Songgon is the name of a village in Indonesia.	Songgon adalah nama sebuah desa di Indonesia.	101132	10113	e
Songgon is a village name in the Songgon region of Banyuwangi Regency, East Java Province, Indonesia.	Songgon adalah nama desa di wilayah Songgon, Kabupaten Banyuwangi, Provinsi Jawa Timur, Indonesia.	Songgon is not the name of the village.	Songgon bukanlah nama desa.	101133	10113	c
Songgon is a village name in the Songgon region of Banyuwangi Regency, East Java Province, Indonesia.	Songgon adalah nama desa di wilayah Songgon, Kabupaten Banyuwangi, Provinsi Jawa Timur, Indonesia.	Indonesia is the name of the village.	Indonesia adalah nama desa.	101134	10113	n
Songgon is a village name in the Songgon region of Banyuwangi Regency, East Java Province, Indonesia.	Songgon adalah nama desa di wilayah Songgon, Kabupaten Banyuwangi, Provinsi Jawa Timur, Indonesia.	Banyuwangi Regency is the name of the village.	Kabupaten Banyuwangi adalah nama desanya.	101135	10113	n
He performed at a place called Kurukshetra and has since been sacred and sacred.	Dia tampil di tempat yang disebut Kurukshetra dan sejak itu suci dan suci.	He's doing it at the sacred place.	Dia melakukannya di tempat suci.	101141	10114	n
He performed at a place called Kurukshetra and has since been sacred and sacred.	Dia tampil di tempat yang disebut Kurukshetra dan sejak itu suci dan suci.	Ever since he did what he did, it's sacred and sacred.	Sejak dia melakukan apa yang dia lakukan, itu suci dan suci.	101144	10114	e
He performed at a place called Kurukshetra and has since been sacred and sacred.	Dia tampil di tempat yang disebut Kurukshetra dan sejak itu suci dan suci.	He did not do anything in Kurukshetra.	Dia tidak melakukan apa-apa di Kurukshetra.	101145	10114	c
Reger studied music at Muenchen and Wiesbaden with Hugo Riemann.	Reger belajar musik di Muenchen dan Wiesbaden bersama Hugo Riemann.	Reger was born in Wiesbaden.	Reger lahir di Wiesbaden.	101151	10115	n
Reger studied music at Muenchen and Wiesbaden with Hugo Riemann.	Reger belajar musik di Muenchen dan Wiesbaden bersama Hugo Riemann.	Higo Riemann is a music teacher.	Higo Riemann adalah seorang guru musik.	101152	10115	n
Reger studied music at Muenchen and Wiesbaden with Hugo Riemann.	Reger belajar musik di Muenchen dan Wiesbaden bersama Hugo Riemann.	Reger never studied music.	Reger tidak pernah belajar musik.	101154	10115	c
Pakel is a village in Gucialit district, Lumajang Regency, East Java province, Indonesia.	Pakel adalah sebuah desa di kecamatan Gucialit, Kabupaten Lumajang, Provinsi Jawa Timur, Indonesia.	Pakel is a village.	Pakel adalah sebuah desa.	101160	10116	e
Pakel is a village in Gucialit district, Lumajang Regency, East Java province, Indonesia.	Pakel adalah sebuah desa di kecamatan Gucialit, Kabupaten Lumajang, Provinsi Jawa Timur, Indonesia.	Pakel is a subdistrict.	Pakel adalah sebuah kecamatan.	101161	10116	c
Pakel is a village in Gucialit district, Lumajang Regency, East Java province, Indonesia.	Pakel adalah sebuah desa di kecamatan Gucialit, Kabupaten Lumajang, Provinsi Jawa Timur, Indonesia.	Pakel is the county.	Pakel adalah county.	101162	10116	c
Pakel is a village in Gucialit district, Lumajang Regency, East Java province, Indonesia.	Pakel adalah sebuah desa di kecamatan Gucialit, Kabupaten Lumajang, Provinsi Jawa Timur, Indonesia.	Pakel is a province.	Pakel adalah sebuah provinsi.	101163	10116	c
Pakel is a village in Gucialit district, Lumajang Regency, East Java province, Indonesia.	Pakel adalah sebuah desa di kecamatan Gucialit, Kabupaten Lumajang, Provinsi Jawa Timur, Indonesia.	Gucialit is located in Lumajang Regency.	Gucialit terletak di Kabupaten Lumajang. Gucialit merupakan salah satu tempat wisata yang berada di Kabupaten Lumajang.	101164	10116	e
Pakel is a village in Gucialit district, Lumajang Regency, East Java province, Indonesia.	Pakel adalah sebuah desa di kecamatan Gucialit, Kabupaten Lumajang, Provinsi Jawa Timur, Indonesia.	The village in Gucialit district is not named Pakel.	Desa di Kecamatan Gucialit tidak bernama Pakel.	101165	10116	n
"The mori cloth was also very popular as clothing material, during the 1960s–1970s."	"Kain mori juga sangat populer sebagai bahan pakaian, selama 1960-an-1970-an."	The mori fabric was popular in this era.	Kain mori populer pada zaman ini.	101170	10117	n
"The mori cloth was also very popular as clothing material, during the 1960s–1970s."	"Kain mori juga sangat populer sebagai bahan pakaian, selama 1960-an-1970-an."	The mori fabric is not popular right now.	Kain mori tidak populer sekarang.	101171	10117	n
"The mori cloth was also very popular as clothing material, during the 1960s–1970s."	"Kain mori juga sangat populer sebagai bahan pakaian, selama 1960-an-1970-an."	Popular clothing material is Mori's fabric.	Bahan pakaian populer adalah kain Mori.	101172	10117	n
"The mori cloth was also very popular as clothing material, during the 1960s–1970s."	"Kain mori juga sangat populer sebagai bahan pakaian, selama 1960-an-1970-an."	The Mori cloth is a garment material.	Kain Mori adalah bahan pakaian.	101173	10117	e
"The mori cloth was also very popular as clothing material, during the 1960s–1970s."	"Kain mori juga sangat populer sebagai bahan pakaian, selama 1960-an-1970-an."	The mori cloth was unpopular in the 1970s.	Kain mori tidak populer pada tahun 1970-an.	101174	10117	c
"The mori cloth was also very popular as clothing material, during the 1960s–1970s."	"Kain mori juga sangat populer sebagai bahan pakaian, selama 1960-an-1970-an."	The mori cloth is not clothing material.	Kain mori bukanlah bahan pakaian.	101175	10117	c
A few months before Rose and the boys graduated from the academy, they had to take a field exam.	Beberapa bulan sebelum Rose dan anak-anak itu lulus dari akademi, mereka harus mengikuti ujian lapangan.	Field exams are not mandatory.	Ujian lapangan tidak wajib.	101183	10118	c
A few months before Rose and the boys graduated from the academy, they had to take a field exam.	Beberapa bulan sebelum Rose dan anak-anak itu lulus dari akademi, mereka harus mengikuti ujian lapangan.	Rose graduated from the academy a few months ago.	Rose lulus dari akademi beberapa bulan yang lalu.	101184	10118	n
A few months before Rose and the boys graduated from the academy, they had to take a field exam.	Beberapa bulan sebelum Rose dan anak-anak itu lulus dari akademi, mereka harus mengikuti ujian lapangan.	Rose has a friend.	Rose punya teman.	101185	10118	e
A replacement person or Backup Person is one of the strategies used for sustainable business processes.	Orang pengganti atau Backup Person adalah salah satu strategi yang digunakan untuk proses bisnis yang berkelanjutan.	The strategy used was a replacement person.	Strategi yang digunakan adalah orang pengganti.	101190	10119	n
A replacement person or Backup Person is one of the strategies used for sustainable business processes.	Orang pengganti atau Backup Person adalah salah satu strategi yang digunakan untuk proses bisnis yang berkelanjutan.	The replacement person is one of the business strategies.	Orang pengganti adalah salah satu strategi bisnis.	101191	10119	e
A replacement person or Backup Person is one of the strategies used for sustainable business processes.	Orang pengganti atau Backup Person adalah salah satu strategi yang digunakan untuk proses bisnis yang berkelanjutan.	Replacements are used for sustainable business processes.	Penggantian digunakan untuk proses bisnis yang berkelanjutan.	101192	10119	e
A replacement person or Backup Person is one of the strategies used for sustainable business processes.	Orang pengganti atau Backup Person adalah salah satu strategi yang digunakan untuk proses bisnis yang berkelanjutan.	Strategy is used for sustainable business processes.	Strategi digunakan untuk proses bisnis yang berkelanjutan.	101193	10119	n
A replacement person or Backup Person is one of the strategies used for sustainable business processes.	Orang pengganti atau Backup Person adalah salah satu strategi yang digunakan untuk proses bisnis yang berkelanjutan.	A substitute isn't one of those strategies.	Seorang pengganti bukanlah salah satu strategi.	101194	10119	c
A replacement person or Backup Person is one of the strategies used for sustainable business processes.	Orang pengganti atau Backup Person adalah salah satu strategi yang digunakan untuk proses bisnis yang berkelanjutan.	The substitutes aren't used.	Penggantinya tidak digunakan.	101195	10119	n
This morning, Pope Francis met Mark Zuckerberg and his wife at Casa Santa Marta.	Pagi ini, Paus Fransiskus bertemu Mark Zuckerberg dan istrinya di Casa Santa Marta.	Pope Francis meets Mark Zuckerberg.	Paus Fransiskus bertemu Mark Zuckerberg.	101200	10120	e
This morning, Pope Francis met Mark Zuckerberg and his wife at Casa Santa Marta.	Pagi ini, Paus Fransiskus bertemu Mark Zuckerberg dan istrinya di Casa Santa Marta.	Mark Zuckerberg is married.	Mark Zuckerberg sudah menikah.	101201	10120	e
This morning, Pope Francis met Mark Zuckerberg and his wife at Casa Santa Marta.	Pagi ini, Paus Fransiskus bertemu Mark Zuckerberg dan istrinya di Casa Santa Marta.	Pope Francis lives in Casa Santa Maria.	Paus Fransiskus tinggal di Casa Santa Maria.	101202	10120	n
This morning, Pope Francis met Mark Zuckerberg and his wife at Casa Santa Marta.	Pagi ini, Paus Fransiskus bertemu Mark Zuckerberg dan istrinya di Casa Santa Marta.	Mark Zuckerberg did not meet Pope Francis.	Mark Zuckerberg tidak bertemu Paus Fransiskus.	101205	10120	c
The M37 is located in an anti-central direction, opposite the galactic center if viewed from Earth.	M37 terletak di arah anti pusat, berlawanan dengan pusat galaksi jika dilihat dari Bumi.	The M37 is located in the central direction.	M37 terletak di arah tengah.	101210	10121	c
The M37 is located in an anti-central direction, opposite the galactic center if viewed from Earth.	M37 terletak di arah anti pusat, berlawanan dengan pusat galaksi jika dilihat dari Bumi.	The anti-center direction is the central direction of the glakation if viewed from the bum.	Arah anti-pusat adalah arah pusat dari glakasi jika dilihat dari gelandangan.	101211	10121	c
The M37 is located in an anti-central direction, opposite the galactic center if viewed from Earth.	M37 terletak di arah anti pusat, berlawanan dengan pusat galaksi jika dilihat dari Bumi.	The direction of the M37 is contrary to the central direction of the galaxy.	Arah M37 berlawanan dengan arah pusat galaksi.	101212	10121	e
The M37 is located in an anti-central direction, opposite the galactic center if viewed from Earth.	M37 terletak di arah anti pusat, berlawanan dengan pusat galaksi jika dilihat dari Bumi.	The center of the galaxy is viewed from Earth.	Pusat galaksi dilihat dari Bumi.	101213	10121	n
The M37 is located in an anti-central direction, opposite the galactic center if viewed from Earth.	M37 terletak di arah anti pusat, berlawanan dengan pusat galaksi jika dilihat dari Bumi.	M37 seen from the earth.	M37 terlihat dari bumi.	101214	10121	n
The M37 is located in an anti-central direction, opposite the galactic center if viewed from Earth.	M37 terletak di arah anti pusat, berlawanan dengan pusat galaksi jika dilihat dari Bumi.	M37 is located at the center of the galaxy.	M37 terletak di pusat galaksi.	101215	10121	c
Villers-en-Ouche is a commune in the Orne Apartment in northwestern France.	Villers-en-Ouche adalah komune di Orne Apartment di barat laut Prancis.	Villers-en-Ouche is a commune.	Villers-en-Ouche adalah komune.	101220	10122	e
Villers-en-Ouche is a commune in the Orne Apartment in northwestern France.	Villers-en-Ouche adalah komune di Orne Apartment di barat laut Prancis.	Villers-en-Ouche is in northwestern France.	Villers-en-Ouche berada di barat laut Prancis.	101221	10122	e
Villers-en-Ouche is a commune in the Orne Apartment in northwestern France.	Villers-en-Ouche adalah komune di Orne Apartment di barat laut Prancis.	Apartement Orne is a commune.	Apartement Orne adalah komune.	101222	10122	c
His tomb was once unknown, and Zain ibn Abdullah Bahasan appeared to him.	Makamnya pernah tidak diketahui, dan Zain bin Abdullah Bahasan menampakkan diri kepadanya.	Zain bin Abdullah Bahasan appears on his grave.	Zain bin Abdullah Bahasan muncul di makamnya.	101230	10123	e
